iso3,concept_id,category,computed_score,n_present,n_absent_penalty_relevant,f,floor_low,floor_sd,floor,penalty_w,penalty_regime,penalized_score,relevance,measurement_quality,effective_weight,weighted_contribution,low_confidence
BOL,1,Political foundations,0.510410135044833,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.510410135044833,1.0,1.0,1.0,0.510410135044833,False
BRA,1,Political foundations,0.5335011032364163,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5335011032364163,1.0,1.0,1.0,0.5335011032364163,False
BRB,1,Political foundations,0.6564806367322537,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6564806367322537,1.0,1.0,1.0,0.6564806367322537,False
BRN,1,Political foundations,0.4172128654044588,3,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4172128654044588,1.0,1.0,1.0,0.4172128654044588,True
BTN,1,Political foundations,0.5082965433644703,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5082965433644703,1.0,1.0,1.0,0.5082965433644703,False
BWA,1,Political foundations,0.6054299767334298,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6054299767334298,1.0,1.0,1.0,0.6054299767334298,False
CAF,1,Political foundations,0.3323779707933984,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3323779707933984,1.0,1.0,1.0,0.3323779707933984,False
CAN,1,Political foundations,0.6620120495236613,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6620120495236613,1.0,1.0,1.0,0.6620120495236613,False
CHE,1,Political foundations,0.7431593406724218,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7431593406724218,1.0,1.0,1.0,0.7431593406724218,False
CHL,1,Political foundations,0.658155597356216,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.658155597356216,1.0,1.0,1.0,0.658155597356216,False
CHN,1,Political foundations,0.2772155117312425,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2772155117312425,1.0,1.0,1.0,0.2772155117312425,False
CIV,1,Political foundations,0.4060588283128027,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4060588283128027,1.0,1.0,1.0,0.4060588283128027,False
CMR,1,Political foundations,0.3288716269551929,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3288716269551929,1.0,1.0,1.0,0.3288716269551929,False
COD,1,Political foundations,0.3267855908698082,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3267855908698082,1.0,1.0,1.0,0.3267855908698082,False
COG,1,Political foundations,0.3562497742942522,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3562497742942522,1.0,1.0,1.0,0.3562497742942522,False
COL,1,Political foundations,0.4887543469131706,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4887543469131706,1.0,1.0,1.0,0.4887543469131706,False
COM,1,Political foundations,0.5203184125753403,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5203184125753403,1.0,1.0,1.0,0.5203184125753403,False
CPV,1,Political foundations,0.6482125929225141,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6482125929225141,1.0,1.0,1.0,0.6482125929225141,False
CRI,1,Political foundations,0.664757044012729,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.664757044012729,1.0,1.0,1.0,0.664757044012729,False
CUB,1,Political foundations,0.5131150245655363,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5131150245655363,1.0,1.0,1.0,0.5131150245655363,False
CYP,1,Political foundations,0.610925517794887,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.610925517794887,1.0,1.0,1.0,0.610925517794887,False
CZE,1,Political foundations,0.6624610482305306,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6624610482305306,1.0,1.0,1.0,0.6624610482305306,False
DEU,1,Political foundations,0.7268052099440587,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7268052099440587,1.0,1.0,1.0,0.7268052099440587,False
DJI,1,Political foundations,0.4394861591618369,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4394861591618369,1.0,1.0,1.0,0.4394861591618369,False
DNK,1,Political foundations,0.7642859167666737,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7642859167666737,1.0,1.0,1.0,0.7642859167666737,False
DOM,1,Political foundations,0.5006897569935242,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5006897569935242,1.0,1.0,1.0,0.5006897569935242,False
DZA,1,Political foundations,0.4822424575842006,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4822424575842006,1.0,1.0,1.0,0.4822424575842006,False
ECU,1,Political foundations,0.4095984540578545,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4095984540578545,1.0,1.0,1.0,0.4095984540578545,False
EGY,1,Political foundations,0.334631165211215,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.334631165211215,1.0,1.0,1.0,0.334631165211215,False
ESP,1,Political foundations,0.5771147932472811,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5771147932472811,1.0,1.0,1.0,0.5771147932472811,False
EST,1,Political foundations,0.6181366817498511,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6181366817498511,1.0,1.0,1.0,0.6181366817498511,False
ETH,1,Political foundations,0.3312571130213963,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3312571130213963,1.0,1.0,1.0,0.3312571130213963,False
FIN,1,Political foundations,0.7328737546497536,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7328737546497536,1.0,1.0,1.0,0.7328737546497536,False
FJI,1,Political foundations,0.5083886409852078,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5083886409852078,1.0,1.0,1.0,0.5083886409852078,False
FRA,1,Political foundations,0.6486340260616416,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6486340260616416,1.0,1.0,1.0,0.6486340260616416,False
FSM,1,Political foundations,0.6119270957037884,3,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6119270957037884,1.0,1.0,1.0,0.6119270957037884,True
GAB,1,Political foundations,0.491422691717088,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.491422691717088,1.0,1.0,1.0,0.491422691717088,False
GBR,1,Political foundations,0.5779300081889732,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5779300081889732,1.0,1.0,1.0,0.5779300081889732,False
GEO,1,Political foundations,0.4558558970291241,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4558558970291241,1.0,1.0,1.0,0.4558558970291241,False
GHA,1,Political foundations,0.5834134693921572,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5834134693921572,1.0,1.0,1.0,0.5834134693921572,False
GIN,1,Political foundations,0.3931264984731771,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3931264984731771,1.0,1.0,1.0,0.3931264984731771,False
GMB,1,Political foundations,0.5371868500432412,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5371868500432412,1.0,1.0,1.0,0.5371868500432412,False
GNB,1,Political foundations,0.4178063173569941,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4178063173569941,1.0,1.0,1.0,0.4178063173569941,False
GNQ,1,Political foundations,0.2912033109833727,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2912033109833727,1.0,1.0,1.0,0.2912033109833727,False
GRC,1,Political foundations,0.6805988246723951,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6805988246723951,1.0,1.0,1.0,0.6805988246723951,False
GRD,1,Political foundations,0.6158533074632526,3,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6158533074632526,1.0,1.0,1.0,0.6158533074632526,True
GTM,1,Political foundations,0.4565130668183766,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4565130668183766,1.0,1.0,1.0,0.4565130668183766,False
GUY,1,Political foundations,0.544811415478048,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.544811415478048,1.0,1.0,1.0,0.544811415478048,False
HKG,1,Political foundations,0.4283017701217819,5,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4283017701217819,1.0,1.0,1.0,0.4283017701217819,False
HND,1,Political foundations,0.4874184758749442,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4874184758749442,1.0,1.0,1.0,0.4874184758749442,False
HRV,1,Political foundations,0.5817059423638383,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5817059423638383,1.0,1.0,1.0,0.5817059423638383,False
HTI,1,Political foundations,0.3262349890212414,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3262349890212414,1.0,1.0,1.0,0.3262349890212414,False
HUN,1,Political foundations,0.5231125437198122,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5231125437198122,1.0,1.0,1.0,0.5231125437198122,False
IDN,1,Political foundations,0.4119664410760741,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4119664410760741,1.0,1.0,1.0,0.4119664410760741,False
IND,1,Political foundations,0.4267149711702999,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4267149711702999,1.0,1.0,1.0,0.4267149711702999,False
IRL,1,Political foundations,0.7496723436042628,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7496723436042628,1.0,1.0,1.0,0.7496723436042628,False
IRN,1,Political foundations,0.3106586174644715,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3106586174644715,1.0,1.0,1.0,0.3106586174644715,False
IRQ,1,Political foundations,0.3452519207176477,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3452519207176477,1.0,1.0,1.0,0.3452519207176477,False
ISL,1,Political foundations,0.746766059711076,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.746766059711076,1.0,1.0,1.0,0.746766059711076,False
ISR,1,Political foundations,0.5194999892908891,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5194999892908891,1.0,1.0,1.0,0.5194999892908891,False
ITA,1,Political foundations,0.6770058340068635,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6770058340068635,1.0,1.0,1.0,0.6770058340068635,False
JAM,1,Political foundations,0.668369987560207,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.668369987560207,1.0,1.0,1.0,0.668369987560207,False
JOR,1,Political foundations,0.4123464315475766,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4123464315475766,1.0,1.0,1.0,0.4123464315475766,False
JPN,1,Political foundations,0.729103848292643,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.729103848292643,1.0,1.0,1.0,0.729103848292643,False
KAZ,1,Political foundations,0.3652348944656423,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3652348944656423,1.0,1.0,1.0,0.3652348944656423,False
KEN,1,Political foundations,0.4383280443207519,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4383280443207519,1.0,1.0,1.0,0.4383280443207519,False
KGZ,1,Political foundations,0.4026177363644604,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4026177363644604,1.0,1.0,1.0,0.4026177363644604,False
KHM,1,Political foundations,0.3255792726576983,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3255792726576983,1.0,1.0,1.0,0.3255792726576983,False
KOR,1,Political foundations,0.7069176518083427,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7069176518083427,1.0,1.0,1.0,0.7069176518083427,False
KWT,1,Political foundations,0.4092978720352462,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4092978720352462,1.0,1.0,1.0,0.4092978720352462,False
LAO,1,Political foundations,0.2957968019346007,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2957968019346007,1.0,1.0,1.0,0.2957968019346007,False
LBN,1,Political foundations,0.3764639268323027,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3764639268323027,1.0,1.0,1.0,0.3764639268323027,False
LBR,1,Political foundations,0.5382122223650111,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5382122223650111,1.0,1.0,1.0,0.5382122223650111,False
LBY,1,Political foundations,0.360641140818017,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.360641140818017,1.0,1.0,1.0,0.360641140818017,False
LKA,1,Political foundations,0.4917863970074541,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4917863970074541,1.0,1.0,1.0,0.4917863970074541,False
LSO,1,Political foundations,0.5937551274704443,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5937551274704443,1.0,1.0,1.0,0.5937551274704443,False
LTU,1,Political foundations,0.723013363212495,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.723013363212495,1.0,1.0,1.0,0.723013363212495,False
LUX,1,Political foundations,0.7260867406471049,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7260867406471049,1.0,1.0,1.0,0.7260867406471049,False
LVA,1,Political foundations,0.6100592342294592,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6100592342294592,1.0,1.0,1.0,0.6100592342294592,False
MAR,1,Political foundations,0.4247434228544089,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4247434228544089,1.0,1.0,1.0,0.4247434228544089,False
MDA,1,Political foundations,0.5645173443418922,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5645173443418922,1.0,1.0,1.0,0.5645173443418922,False
MDG,1,Political foundations,0.4824622426288712,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4824622426288712,1.0,1.0,1.0,0.4824622426288712,False
MDV,1,Political foundations,0.4943813061577634,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4943813061577634,1.0,1.0,1.0,0.4943813061577634,False
MEX,1,Political foundations,0.4850935890189973,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4850935890189973,1.0,1.0,1.0,0.4850935890189973,False
MKD,1,Political foundations,0.4654046255017408,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4654046255017408,1.0,1.0,1.0,0.4654046255017408,False
MLI,1,Political foundations,0.473972724333934,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.473972724333934,1.0,1.0,1.0,0.473972724333934,False
MLT,1,Political foundations,0.7166861765866505,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7166861765866505,1.0,1.0,1.0,0.7166861765866505,False
MMR,1,Political foundations,0.2161555570287991,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2161555570287991,1.0,1.0,1.0,0.2161555570287991,False
MNE,1,Political foundations,0.5331559309143363,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5331559309143363,1.0,1.0,1.0,0.5331559309143363,False
MNG,1,Political foundations,0.5425679810149001,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5425679810149001,1.0,1.0,1.0,0.5425679810149001,False
MOZ,1,Political foundations,0.4835490122952173,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4835490122952173,1.0,1.0,1.0,0.4835490122952173,False
MRT,1,Political foundations,0.2978350849242271,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2978350849242271,1.0,1.0,1.0,0.2978350849242271,False
MUS,1,Political foundations,0.5721640228490329,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5721640228490329,1.0,1.0,1.0,0.5721640228490329,False
MWI,1,Political foundations,0.4751524771587696,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4751524771587696,1.0,1.0,1.0,0.4751524771587696,False
MYS,1,Political foundations,0.5351262742851017,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5351262742851017,1.0,1.0,1.0,0.5351262742851017,False
NAM,1,Political foundations,0.5492509295876967,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5492509295876967,1.0,1.0,1.0,0.5492509295876967,False
NER,1,Political foundations,0.5098234896342093,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5098234896342093,1.0,1.0,1.0,0.5098234896342093,False
NGA,1,Political foundations,0.4130825193396596,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4130825193396596,1.0,1.0,1.0,0.4130825193396596,False
NIC,1,Political foundations,0.2458245857438904,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2458245857438904,1.0,1.0,1.0,0.2458245857438904,False
NLD,1,Political foundations,0.6827165052648008,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6827165052648008,1.0,1.0,1.0,0.6827165052648008,False
NOR,1,Political foundations,0.7503845554751644,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7503845554751644,1.0,1.0,1.0,0.7503845554751644,False
NPL,1,Political foundations,0.4919227464946716,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4919227464946716,1.0,1.0,1.0,0.4919227464946716,False
NZL,1,Political foundations,0.6834576449849438,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6834576449849438,1.0,1.0,1.0,0.6834576449849438,False
OMN,1,Political foundations,0.4099456824648531,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4099456824648531,1.0,1.0,1.0,0.4099456824648531,False
PAK,1,Political foundations,0.3184696075707863,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3184696075707863,1.0,1.0,1.0,0.3184696075707863,False
PAN,1,Political foundations,0.5182336294745958,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5182336294745958,1.0,1.0,1.0,0.5182336294745958,False
PER,1,Political foundations,0.441754883801409,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.441754883801409,1.0,1.0,1.0,0.441754883801409,False
PHL,1,Political foundations,0.3478779910780802,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3478779910780802,1.0,1.0,1.0,0.3478779910780802,False
PNG,1,Political foundations,0.5156259316914575,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5156259316914575,1.0,1.0,1.0,0.5156259316914575,False
POL,1,Political foundations,0.6648425470228023,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6648425470228023,1.0,1.0,1.0,0.6648425470228023,False
PRT,1,Political foundations,0.6495989378703001,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6495989378703001,1.0,1.0,1.0,0.6495989378703001,False
PRY,1,Political foundations,0.4204155241565736,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4204155241565736,1.0,1.0,1.0,0.4204155241565736,False
PSE,1,Political foundations,0.4713831677160964,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4713831677160964,1.0,1.0,1.0,0.4713831677160964,False
QAT,1,Political foundations,0.3578094649090214,6,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3578094649090214,1.0,1.0,1.0,0.3578094649090214,False
ROU,1,Political foundations,0.566274766101278,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.566274766101278,1.0,1.0,1.0,0.566274766101278,False
RUS,1,Political foundations,0.3070099227370793,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3070099227370793,1.0,1.0,1.0,0.3070099227370793,False
RWA,1,Political foundations,0.2924134514654919,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2924134514654919,1.0,1.0,1.0,0.2924134514654919,False
SAU,1,Political foundations,0.2469161515367915,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.2469161515367915,1.0,1.0,1.0,0.2469161515367915,False
SDN,1,Political foundations,0.3311220740876111,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3311220740876111,1.0,1.0,1.0,0.3311220740876111,False
SEN,1,Political foundations,0.5575785645048953,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5575785645048953,1.0,1.0,1.0,0.5575785645048953,False
SGP,1,Political foundations,0.602776983761447,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.602776983761447,1.0,1.0,1.0,0.602776983761447,False
SLB,1,Political foundations,0.5115936045082305,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5115936045082305,1.0,1.0,1.0,0.5115936045082305,False
SLE,1,Political foundations,0.5376699326043418,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5376699326043418,1.0,1.0,1.0,0.5376699326043418,False
SLV,1,Political foundations,0.4405753478286378,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4405753478286378,1.0,1.0,1.0,0.4405753478286378,False
SOM,1,Political foundations,0.3794964198530768,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3794964198530768,1.0,1.0,1.0,0.3794964198530768,False
SRB,1,Political foundations,0.4531478175216004,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.4531478175216004,1.0,1.0,1.0,0.4531478175216004,False
SSD,1,Political foundations,0.1909241903767387,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.1909241903767387,1.0,1.0,1.0,0.1909241903767387,False
STP,1,Political foundations,0.5309592464633045,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5309592464633045,1.0,1.0,1.0,0.5309592464633045,False
SUR,1,Political foundations,0.5588751035655705,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5588751035655705,1.0,1.0,1.0,0.5588751035655705,False
SVK,1,Political foundations,0.5901633046604814,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5901633046604814,1.0,1.0,1.0,0.5901633046604814,False
SVN,1,Political foundations,0.6815835076257674,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.6815835076257674,1.0,1.0,1.0,0.6815835076257674,False
SWE,1,Political foundations,0.7195495764099537,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.7195495764099537,1.0,1.0,1.0,0.7195495764099537,False
SWZ,1,Political foundations,0.3654331583221916,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.3654331583221916,1.0,1.0,1.0,0.3654331583221916,False
SYC,1,Political foundations,0.5910014041943903,7,0,1.0,0.1191675272205424,0.1397605679769822,0.0,0.0,none,0.5910014041943903,1.0,1.0,1.0,0.5910014041943903,False
